studio_name,n_games,first_release_year,last_release_year,total_positive_reviews,total_reviews,avg_review_pct_positive,median_price,total_owners_estimate,peak_ccu_best,city,state,state_full,type,career_span_years,lat,lng
Tin Man Games,16,2014,2024,2762,3845,79.0,0.99,515000.0,2,Melbourne,VIC,Victoria,Studio,10,-37.93822627156779,144.6842267495406
InvertMouse,10,2015,2021,3282,3753,88.0,4.99,365000.0,2,Sydney,NSW,New South Wales,Studio,6,-33.9992924196525,151.453826569119
Black Lab Games,2,2015,2017,3023,3618,79.0,2.495,360000.0,63,Leederville,WA,Western Australia,Studio,2,,
Torus Games,7,2014,2022,2119,2619,70.2,7.49,250000.0,18,Melbourne,VIC,Victoria,Studio,8,-37.67148603016327,145.0678657654403
3 Sprockets,4,2012,2017,1612,2117,77.3,6.49,385000.0,1,Melbourne,VIC,Victoria,Studio,5,-38.129306897729826,145.18306172603232
Hipster Whale,1,2016,2016,1927,2085,92.4,2.49,150000.0,8,Melbourne,VIC,Victoria,Studio,0,-38.13673360598855,144.84737722408735
Blowfish Studios,6,2016,2023,1104,1604,73.8,5.49,450000.0,0,Sydney,NSW,New South Wales,Publisher,7,-33.59466692364351,151.2876998655183
Wix Games,9,2017,2025,1305,1516,86.3,4.99,165000.0,2,Brighton,VIC,Victoria,Studio,8,,
Mighty Games,4,2017,2020,1344,1477,75.0,5.49,380000.0,1,Melbourne,VIC,Victoria,Studio,3,-37.75892824597634,145.1403296809503
Catch Weight Studio,1,2024,2024,1362,1476,92.3,6.79,350000.0,15,Melbourne,VIC,Victoria,Studio,0,-37.48446215661778,145.2280599150844
Odd Games,4,2015,2025,1103,1397,65.6,3.54,120000.0,4,Adelaide,SA,South Australia,Studio,10,-35.06397596401795,138.366750121952
Kumobius,1,2015,2015,771,814,94.7,1.99,35000.0,0,Melbourne,VIC,Victoria,Studio,0,-37.99076507386328,144.74013124093668
100 Stones Interactive,1,2016,2016,660,795,83.0,4.49,75000.0,3,Melbourne,VIC,Victoria,Studio,0,-38.09105647015713,145.38829332576165
Mighty Kingdom,1,2022,2022,452,747,60.5,3.74,350000.0,3,Adelaide,SA,South Australia,Studio,0,-34.740316186763664,138.50803894039922
Toast Interactive,3,2017,2024,557,684,86.6,14.99,95000.0,15,Gold Coast,QLD,Queensland,Studio,7,-27.95141576057615,153.35616539844548
Drop Bear Bytes,1,2024,2024,211,379,55.7,13.99,75000.0,4,Melbourne,VIC,Victoria,Studio,0,-37.41563431384908,144.9235977784839
Dreamgate Studios,1,2018,2018,265,354,74.9,3.19,150000.0,0,Canberra,ACT,Australian Capital Territory,Studio,0,-35.3890551234109,149.01344865353923
Paper House Games,1,2018,2018,306,345,88.7,4.49,35000.0,0,Melbourne,VIC,Victoria,Studio,0,-37.754686591203374,144.735331944182
Upper Class Walrus,2,2015,2022,314,336,92.4,4.99,20000.0,0,,,,Studio,7,,
Emerge Worlds,2,2019,2023,251,287,89.9,3.24,20000.0,1,Brisbane,QLD,Queensland,Service,4,-27.417356686061403,153.27175018783353
Epiphany Games,4,2014,2023,140,281,57.6,4.69,65000.0,0,Sydney,NSW,New South Wales,Studio,9,-33.92513571712138,151.05211962512809
Chaos Theory Games,4,2018,2024,201,245,60.0,6.99,40000.0,9,Sydney,NSW,New South Wales,Service,6,-33.59017894036274,151.21463472445885
Insert Disk 22,1,2022,2022,115,143,80.4,19.99,10000.0,0,Melbourne,VIC,Victoria,Studio,0,-38.206326964313156,144.52833172040775
Desert Beagle,1,2019,2019,84,111,75.7,0.0,75000.0,0,Melbourne,VIC,Victoria,Studio,0,-38.18833683486337,145.08544820003496
Convict Games,2,2018,2024,72,108,66.7,3.1900000000000004,20000.0,0,Melbourne,VIC,Victoria,Studio,6,-37.53320381021155,144.8883735681277
Onerat Games,1,2020,2020,33,69,47.8,2.87,10000.0,0,Melbourne,VIC,Victoria,Studio,0,-38.232613402094124,144.84945451504626
Five Star Games,2,2017,2025,46,64,85.2,10.59,20000.0,0,Sydney,NSW,New South Wales,Other,8,-33.59097202706555,151.22560403325554
Ultimerse,2,2018,2019,43,59,72.9,8.49,20000.0,0,Melbourne,VIC,Victoria,Service,1,-37.361364757490925,145.30944851414512
Spunge Games,2,2022,2025,40,44,90.9,4.49,20000.0,0,Brisbane,QLD,Queensland,Studio,3,-27.77268176639545,153.16194752800334
Art Of Play,1,2025,2025,32,40,80.0,19.99,10000.0,0,Melbourne,VIC,Victoria,Service,0,-37.63915804573449,144.99859151719244
GOATi Entertainment,1,2022,2022,11,16,68.8,12.24,10000.0,0,Melbourne,VIC,Victoria,Studio,0,-38.03744781764556,145.0984233266366
Foxie Ventures,1,2018,2018,4,12,33.3,5.99,10000.0,0,Adelaide,SA,South Australia,Studio,0,-35.12272391320206,138.56808262533454
Noble Steed Games,2,2018,2025,6,7,85.7,2.99,10000.0,0,Sydney,NSW,New South Wales,Service,7,-33.894714724455646,151.4634369194118
Mini Mammoth Games,1,2025,2025,0,0,,0.0,0.0,0,Adelaide,SA,South Australia,Studio,0,-34.7405735298109,138.48239452537553
Secret Lab,1,2023,2023,0,0,,0.0,10000.0,0,Hobart,TAS,Tasmania,Service,0,-42.88185383251888,147.19223378982267
