AppID,Name,Release date,release_year,studio_name,studio_city,studio_state,studio_state_full,studio_type,studio_tags,Price,owners_estimate,Peak CCU,Positive,Negative,total_reviews,review_pct_positive,Metacritic score,Recommendations,Average playtime forever,Median playtime forever,Windows,Mac,Linux,Genres,Categories,Tags,Supported languages,Developers,Publishers
661740,Morphite,2017-09-20,2017,Blowfish Studios,Sydney,NSW,New South Wales,Publisher,Indie,7.49,10000.0,0,72,33,105,68.6,,0,0,0,True,True,True,"Action,Adventure,Indie","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Family Sharing","Adventure,Action,Indie,Space,Female Protagonist,FPS,Sci-fi,Metroidvania,Exploration",['English'],"Crescent Moon Games,We're Five Games,Blowfish Studios",Crescent Moon Games
2416880,Duck Life 9: The Flock,2024-05-07,2024,Wix Games,Brighton,VIC,Victoria,Studio,Indie,7.49,10000.0,2,145,19,164,88.4,,169,0,0,True,True,False,"Adventure,Casual,Indie,Racing,Simulation,Sports","Single-player,Captions available,Partial Controller Support,Steam Cloud,Family Sharing","Adventure,Casual,Simulation,Racing,Sports,Action RPG,Colony Sim,Farming Sim,Platformer,3D Platformer,Combat Racing,Creature Collector,Immersive Sim,2.5D,Cartoon,Colorful,Cute,Building,Cooking,Family Friendly",['English'],Wix Games,MoFunZone Inc.
2308130,Zany Golf,2024-07-16,2024,Electronic Arts,Melbourne,VIC,Victoria,Publisher,,2.44,10000.0,0,3,3,6,50.0,,0,0,0,True,False,False,"Simulation,Sports,Strategy","Single-player,Partial Controller Support,Family Sharing","Sports,Strategy,Clicker,Simulation,Golf,Arcade,2D,Cute,Isometric,Cartoon,Singleplayer",['English'],"Chris Harvey,Electronic Arts","Piko Interactive LLC,Bleem.net"
1802690,Carrier Command,2022-12-24,2022,MicroProse,,,,Publisher,,3.99,10000.0,1,12,2,14,85.7,,0,0,0,True,False,False,"Action,Simulation,Strategy","Single-player,Family Sharing","Simulation,Strategy,RTS,Strategy RPG,Action RTS,Flight,Real Time Tactics,3D,Third Person,1980s,Action,Military,Old School,Inventory Management,Combat,Vehicular Combat,Singleplayer",['English'],"Realtime Games,MicroProse Software",MicroProse Software
3595270,Call of Duty®: Modern Warfare® III,2023-11-10,2023,Sledgehammer Games,Melbourne,VIC,Victoria,Studio,,34.99,10000.0,0,0,0,0,,,14613,564,254,True,False,False,Action,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Captions available,In-App Purchases",,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Spanish - Latin America', 'Thai', 'Traditional Chinese']","Sledgehammer Games,Treyarch,Infinity Ward,Beenox,Raven Software,High Moon Studios,Demonware",Activision
337680,Star Hammer: The Vanguard Prophecy,2015-06-04,2015,Black Lab Games,Leederville,WA,Western Australia,Studio,PC,4.99,10000.0,1,117,41,158,74.1,69,145,340,427,True,False,False,"Adventure,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Family Sharing","Strategy,Adventure,Simulation,Space,Turn-Based,Tactical,Aliens,Singleplayer,Turn-Based Tactics,Replay Value,Sci-fi,Turn-Based Combat,Turn-Based Strategy",['English'],Black Lab Games,Slitherine Ltd.
2444160,The Phantom,2025-03-12,2025,Art Of Play,Melbourne,VIC,Victoria,Service,Console|HTML5,19.99,10000.0,0,32,8,40,80.0,,0,0,0,True,False,False,"Action,Adventure,Casual,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Family Sharing","Beat 'em up,Side Scroller,2D Fighter,Arcade,Comic Book,Action,Action-Adventure,2D,Female Protagonist,Hand-drawn,Multiple Endings,Casual,Story Rich,Stylized,Adventure,Superhero,1990's,Old School,Retro,Combat",['English'],Art Of Play Interactive,Art Of Play Interactive
702320,March of Empires,2017-12-11,2017,Gameloft,Brisbane,QLD,Queensland,Publisher,,0.0,350000.0,846,1082,600,1682,64.3,,0,10583,5156,True,False,False,"Massively Multiplayer,RPG,Strategy,Free To Play","Multi-player,PvP,Online PvP,Steam Achievements,In-App Purchases","Free to Play,Medieval,Wargame,Strategy,War,Massively Multiplayer,Base-Building,PvP,Action RTS,4X,RTS,Action,City Builder,Co-op,Real Time Tactics,Crafting,RPG,3D,Top-Down,Character Customization","['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Thai', 'Traditional Chinese', 'Turkish', 'Portuguese - Portugal']",Gameloft,Gameloft
1784570,Trainz Railroad Simulator 2022,2022-05-30,2022,N3V Games,Helensvale,QLD,Queensland,Publisher,,7.99,35000.0,244,563,203,766,73.5,,938,4634,9082,True,True,False,Simulation,"Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Includes level editor,Family Sharing","Simulation,Trains,Level Editor,Multiplayer,Sandbox,Driving,Open World,Realistic,Transportation,Building,Relaxing,Physics,Historical,Tutorial,Singleplayer,3D,Third Person,Moddable,Resource Management,Co-op","['English', 'Italian', 'Spanish - Spain', 'Czech', 'Dutch', 'Polish', 'Russian', 'French', 'German']",N3V Games,N3V Games
1266840,The Last Stand: Aftermath,2021-11-16,2021,Con Artist Games,Melbourne,VIC,Victoria,Studio,,7.49,350000.0,112,4962,1167,6129,81.0,,5741,667,517,True,False,False,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Captions available,Steam Cloud,Family Sharing","Zombies,Survival,Post-apocalyptic,Top-Down Shooter,Rogue-lite,Shooter,Singleplayer,Action Roguelike,Top-Down,Adventure,Action,Perma Death,Atmospheric,Violent,Replay Value,Procedural Generation,Dark,Crafting,3D,Action RPG","['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Japanese', 'Spanish - Latin America']",Con Artist Games,Armor Games Studios
47790,Medal of Honor™,2010-10-12,2010,Electronic Arts,Melbourne,VIC,Victoria,Publisher,,4.99,1500000.0,24,7621,2438,10059,75.8,72,6382,254,114,True,False,False,Action,"Single-player,Multi-player,Family Sharing","FPS,Action,Shooter,Singleplayer,Multiplayer,Military,First-Person,War,Modern,Realistic,Co-op,Controller,America,Stealth,Linear,Mature,Story Rich,Open World,Atmospheric,VR","['English', 'French', 'German', 'Italian', 'Spanish - Spain', 'Polish', 'Russian', 'Traditional Chinese']",Electronic Arts,Electronic Arts
856890,JUSTICE SUCKS: Tactical Vacuum Action,2022-09-08,2022,Samurai Punk,Melbourne,VIC,Victoria,Other,Indie|PC,3.99,10000.0,1,218,9,227,96.0,,183,122,122,True,False,False,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Camera Comfort,Custom Volume Controls,Stereo Sound,Steam Cloud,Family Sharing","Funny,Sandbox,Comedy,Adventure,Indie,Villain Protagonist,Stealth,Dark Humor,Cute,Colorful,Satire,Action,Physics,Tactical,Real Time Tactics,Arcade,Cats,Top-Down,Third Person,Hacking","['English', 'French', 'German', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Spanish - Latin America']",Samurai Punk,tinyBuild
1704630,Dogfight: 80 Years of Aerial Warfare,2022-01-21,2022,MicroProse,,,,Publisher,,1.04,35000.0,0,5,0,5,100.0,,0,0,0,True,False,False,Simulation,"Single-player,Family Sharing","Simulation,Strategy,Wargame,1990's,Historical,Retro,Military,Combat,Singleplayer",['English'],Microprose,Atari
301840,City of Brass,2018-05-04,2018,Uppercut Games,Canberra,ACT,Australian Capital Territory,Studio,Console|PC|Mobile,19.99,35000.0,0,637,181,818,77.9,69,761,315,183,True,False,False,"Action,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Family Sharing","Action Roguelike,Swordplay,Rogue-like,First-Person,Singleplayer,Perma Death,Action,Procedural Generation,Difficult,FPS,3D,Adventure,Dungeon Crawler,Fantasy,Atmospheric,Character Action Game,Indie,Rogue-lite,Action-Adventure,Early Access","['English', 'French', 'German', 'Polish', 'Portuguese - Portugal', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Turkish', 'Traditional Chinese', 'Spanish - Spain', 'Italian', 'Japanese', 'Korean']",Uppercut Games Pty Ltd,Uppercut Games Pty Ltd
312630,OTTTD,2014-08-06,2014,SMG Studio,Sydney,NSW,New South Wales,Studio,Console|PC|Mobile,1.19,35000.0,0,264,87,351,75.2,,187,501,697,True,True,True,"Indie,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Custom Volume Controls,Playable without Timed Input,Save Anytime,Subtitle Options,Steam Cloud,Steam Leaderboards,Family Sharing","Tower Defense,Action RTS,Indie,Strategy,Gore,Violent,RTS,RPG,Cartoony,Colorful,Stylized,Funny,Singleplayer,Action,Arcade,Strategy RPG,Turn-Based Strategy,3D Platformer,Hero Shooter,Real Time Tactics",['English'],SMG Studio,SMG Studio
